1,10,36,2018-07-27,2018-07-28
2,13,12,2019-01-21,2019-01-27
3,20,44,2018-05-18,2018-05-25
4,15,32,2020-01-02,2020-01-12
5,3,5,2019-07-19,2019-07-21
6,9,35,2018-01-23,2018-02-04
7,18,17,2018-06-27,2018-07-10
8,15,49,2019-08-03,2019-08-17
9,2,24,2020-11-27,2020-11-28
10,20,12,2018-01-05,2018-01-15
11,16,29,2018-08-20,2018-08-22
12,13,15,2019-10-23,2019-11-01
13,7,8,2020-09-04,2020-09-15
14,1,14,2018-07-07,2018-07-21
15,1,2,2020-04-11,2020-04-20
16,19,48,2018-06-23,2018-07-01
17,9,3,2018-09-05,2018-09-09
18,17,23,2020-03-04,2020-03-17
19,9,3,2018-07-18,2018-07-24
20,21,32,2018-09-01,2018-09-10
21,12,18,2019-05-06,2019-05-13
22,17,40,2019-04-01,2019-04-12
23,18,3,2018-11-26,2018-12-07
24,14,26,2019-06-07,2019-06-12
25,5,8,2018-01-16,2018-01-22
26,13,9,2018-12-20,2018-12-28
27,18,4,2018-12-21,2018-12-31
28,4,16,2019-07-06,2019-07-13
29,18,26,2018-02-13,2018-02-14
30,3,45,2018-01-24,2018-02-02
31,16,5,2020-02-14,2020-02-16
32,15,23,2020-05-27,2020-06-06
33,12,26,2018-02-09,2018-02-20
34,3,20,2019-12-04,2019-12-18
35,8,4,2018-01-18,2018-01-21
36,4,29,2020-08-20,2020-08-27
37,18,49,2019-12-26,2020-01-07
38,16,32,2018-05-18,2018-05-22
39,12,38,2018-12-13,2018-12-24
40,18,14,2018-10-15,2018-10-20
41,3,2,2018-09-11,2018-09-16
42,12,10,2019-01-16,2019-01-28
43,5,41,2019-09-06,2019-09-07
44,19,14,2018-10-03,2018-10-15
45,19,9,2018-12-15,2018-12-21
46,17,24,2019-07-04,2019-07-15
47,17,34,2018-05-23,2018-06-05
48,19,14,2020-07-14,2020-07-15
49,15,45,2019-12-05,2019-12-19
50,6,9,2018-07-25,2018-08-02
51,3,45,2020-07-15,2020-07-22
52,6,31,2019-09-21,2019-09-22
53,2,25,2019-05-05,2019-05-10
54,20,16,2018-11-19,2018-11-29
55,21,46,2020-12-27,2021-01-07
56,21,33,2019-11-08,2019-11-16
57,18,35,2020-12-04,2020-12-17
58,7,9,2018-10-08,2018-10-11
59,16,43,2018-02-14,2018-02-18
60,3,17,2019-02-28,2019-03-06
61,2,50,2020-11-26,2020-12-03
62,3,26,2019-04-12,2019-04-25
63,19,41,2018-06-18,2018-06-21
64,8,45,2020-09-13,2020-09-21
65,1,48,2020-11-17,2020-11-30
66,20,4,2019-01-16,2019-01-24
67,21,45,2018-12-17,2018-12-21
68,21,27,2019-02-13,2019-02-25
69,19,17,2018-09-09,2018-09-20
70,2,48,2019-09-08,2019-09-15
71,9,34,2019-11-05,2019-11-07
72,16,32,2018-04-28,2018-04-30
73,17,1,2018-08-24,2018-08-26
74,11,24,2020-10-08,2020-10-17
75,4,23,2019-07-21,2019-07-30
76,3,1,2020-01-09,2020-01-11
77,4,31,2019-05-06,2019-05-18
78,21,27,2019-05-12,2019-05-15
79,11,25,2019-01-11,2019-01-22
80,21,13,2018-06-06,2018-06-18
81,19,44,2018-08-22,2018-08-26
82,8,13,2019-02-26,2019-03-05
83,4,22,2018-07-03,2018-07-17
84,17,18,2019-04-15,2019-04-21
85,6,39,2018-05-26,2018-05-31
86,8,43,2019-03-13,2019-03-27
87,5,37,2019-05-28,2019-06-10
88,12,32,2018-06-06,2018-06-07
89,16,47,2020-06-07,2020-06-17
90,17,20,2018-10-10,2018-10-17
91,15,47,2019-06-03,2019-06-06
92,12,17,2018-12-13,2018-12-24
93,5,30,2018-08-13,2018-08-15
94,4,31,2020-01-19,2020-01-20
95,5,20,2020-08-26,2020-08-28
96,1,1,2020-06-01,2020-06-09
97,4,20,2018-09-09,2018-09-11
98,15,33,2020-12-08,2020-12-19
99,20,6,2019-07-25,2019-08-08
100,1,11,2018-12-11,2018-12-17
